Bangla,Chittagong
আমার বাসার কাছে রাস্তার পাশে একটি ফুলের দোকান,আর বাসার ডাহরদি এক্কান ফুলোর দোহান
তার কাছে অনেক দেশের টাকা আছে,তাহ হাসত বহুত দেশর টেয়া আসে
আমি তোমাকে একটা উপহার দিতে চাই,আই তোওয়ারে এক্কান উফহার দিতাম চাইর
সব শুনে আমি বললাম,বেয়াক্কুন ফুনিয়েরে আই হইলাম
কয়েক দিন অপেক্ষা করে দেখো,হয়েক্কান দিন অফেক্ষা গরি দেহো
"কিছু দিন পরে পারুল নিজেই জানাল, বইটা পাওয়া গেছে","কিছু দিন ফর পারুল নিজেই জানাইয়ে, বইয়ান ফোন গিয়ে"
এক বই নিয়ে এত ঘটনা ঘটে যাবে,এক্কান বই লইয়েরে এত ঘটনা ঘটি যাইব
সে না বুঝে অন্যদের দোষ দিচ্ছিল,সে নো বিঝুয়েরে অন্যদের দোষ দিয়িল
কমলাপুর রেলস্টেশন থেকে বোনের বাসায় যাচ্ছি ,হমলাফুর রেল স্টেশনত্তুন ভোইনর বাসাত যাইর
বোনের বাসার কাছে রাস্তার পাশে একটি ফুলের দোকান,ভোইনর বাসার হাসদ্দি এক্কান ফুলোর দোহান আসে
"রজনীগন্ধা, গোলাপ, গাঁদা-সহ নানা রকম ফুল আছে দোকানে ",রজনীগন্ধা গোলাপ গাঁদাসহ আরো ফুল আসে দোহানত
 বড়ো বোনের জন্য কিছু পেয়ারা কিনল,ডর ভোইনর লাই কিছু ফেয়ারা কিন্নে
 বড়ো বোন কিছু পেয়ারা কিনল,ডর ভোইন কিছু ফেয়ারা কিন্নে
তো আমি কী করব?,তো আই কিত্তাম?
সমান দুটো টুকরো হয়ে গেছে,সমান দুইয়ান টুকরা অই গিয়ে
দু-টুকরো হলো কী করে?,দুইয়ান অইলো কেনে?
এটা আমাদের বাড়ি,ইয়ান আরার বাড়ি
এই বাড়িটা আমাদের,এই বাড়িয়ান আরার
প্রথমে বালিশের তলাটা হাতড়ালেন,ফ্রথম বালিশর তলা হাতদিয়ি
এত সুন্দর লাগে তার,এত সুন্দর লার তার
শুধু তাকিয়ে থাকতে ইচ্ছে করে,শুধু সাইতাম মনত সার
তাদের বাগান অন্যদের বাগানের মতো নয়,তারার বাগান অন্য মাইনশের বাগানর ডইল্লে
